date,category,merchant,amount
2025-04-01,카페,스타벅스 강남R점,5800
2025-04-01,배달,배달의민족(BBQ),22000
2025-04-02,교통,지하철,1550
2025-04-02,카페,투썸플레이스 역삼점,6500
2025-04-02,편의점,GS25,4200
2025-04-03,팝업스토어,성수동 젠틀몬스터 팝업,38000
2025-04-03,화장품,올리브영 강남점,42500
2025-04-03,카페,스타벅스 역삼점,5800
2025-04-04,관리비,오피스텔 관리비,180000
2025-04-04,통신비,SKT,68000
2025-04-04,배달,쿠팡이츠(메가커피),4500
2025-04-05,카페,블루보틀 삼청동,7200
2025-04-05,팝업스토어,더현대 디올 팝업,52000
2025-04-05,식비,점심 회사식당,7000
2025-04-06,배달,배달의민족(맘스터치),18500
2025-04-06,구독료,넷플릭스,17000
2025-04-06,구독료,유튜브 프리미엄,14900
2025-04-07,카페,스타벅스 강남R점,5800
2025-04-07,교통,카카오T 택시,12400
2025-04-07,배달,쿠팡이츠(맥도날드),16800
2025-04-08,식비,회사식당,7000
2025-04-08,카페,스타벅스 역삼점,6300
2025-04-08,편의점,CU,3800
2025-04-09,화장품,세포라 강남,68000
2025-04-09,배달,배달의민족(피자스쿨),24000
2025-04-10,카페,투썸플레이스 역삼점,6500
2025-04-10,교통,지하철,1550
2025-04-10,술자리,강남 이자카야,45000
2025-04-11,카페,스타벅스 강남R점,5800
2025-04-11,배달,쿠팡이츠(써브웨이),12500
2025-04-12,팝업스토어,성수동 마뗑킴 팝업,42000
2025-04-12,식비,브런치카페 한남,28000
2025-04-12,카페,블루보틀 한남,7800
2025-04-13,쇼핑,무신사,89000
2025-04-13,배달,배달의민족(교촌치킨),28000
2025-04-14,카페,스타벅스 역삼점,5800
2025-04-14,편의점,GS25,5400
2025-04-14,교통,지하철,1550
2025-04-15,화장품,올리브영 강남점,38500
2025-04-15,배달,쿠팡이츠(스타벅스),9500
2025-04-15,카페,컴포즈커피,2900
2025-04-16,식비,회사식당,7000
2025-04-16,배달,배달의민족(노브랜드버거),11500
2025-04-17,카페,스타벅스 강남R점,5800
2025-04-17,영화,CGV 강남,15000
2025-04-17,식비,팝업레스토랑,42000
2025-04-18,교통,카카오T 택시,9800
2025-04-18,배달,쿠팡이츠(KFC),19500
2025-04-19,팝업스토어,DDP 디올 팝업,48000
2025-04-19,카페,블루보틀 삼청동,7200
2025-04-19,쇼핑,29CM,124000
2025-04-20,배달,배달의민족(엽기떡볶이),22000
2025-04-20,카페,투썸플레이스,6500
2025-04-21,카페,스타벅스 역삼점,5800
2025-04-21,편의점,CU,4500
2025-04-21,교통,지하철,1550
2025-04-22,화장품,올리브영 강남점,28000
2025-04-22,배달,쿠팡이츠(롯데리아),14500
2025-04-23,식비,회사식당,7000
2025-04-23,카페,스타벅스 강남R점,5800
2025-04-23,술자리,강남 와인바,68000
2025-04-24,배달,배달의민족(BHC),26500
2025-04-24,카페,컴포즈커피,2900
2025-04-25,팝업스토어,성수동 발렌시아가 팝업,55000
2025-04-25,쇼핑,무신사,72000
2025-04-25,카페,블루보틀 한남,7800
2025-04-26,화장품,세포라 강남,52000
2025-04-26,식비,브런치카페 성수,32000
2025-04-26,배달,쿠팡이츠(맥도날드),16800
2025-04-27,카페,스타벅스 역삼점,5800
2025-04-27,배달,배달의민족(굽네치킨),24500
2025-04-28,교통,지하철,1550
2025-04-28,편의점,GS25,5800
2025-04-28,식비,회사식당,7000
2025-04-29,카페,스타벅스 강남R점,5800
2025-04-29,배달,쿠팡이츠(스타벅스),9500
2025-04-29,구독료,멜론,10900
2025-04-30,화장품,올리브영 강남점,32000
2025-04-30,배달,배달의민족(피자헛),32000
2025-04-30,카페,투썸플레이스 역삼점,6500
